0,R,Y,C,I,pi,w,L,RE,LEV_F,LEV_E,S
Mar-89,1.293651961,1.153937081,1.09542719,1.14600289,0.58467918,-0.03652719,1.25758594,0.581200981,21.12107081,-4.698476,0.02509804
Jun-89,1.213651961,0.852032462,0.42166087,0.29396339,0.28293341,-1.11894789,0.2306088,0.421200981,21.38594131,-4.1422352,-0.09490196
Sep-89,1.086151961,1.257529872,0.9944715,1.51525315,0.13227308,-1.47581424,0.4656743,0.391200981,21.63431764,-3.4163959,-0.02490196
Dec-89,0.943651961,0.604446344,0.53782068,-1.04517704,0.12714162,-1.26575298,-0.32191405,0.368700981,26.68347001,-2.5886758,0.54509804
Mar-90,0.901151961,0.175881674,-0.21583297,-1.25101713,0.54491652,-0.93380757,0.54182146,0.466200981,22.43804039,-1.7423336,0.37509804
Jun-90,0.903651961,0.327971967,-0.20418618,-4.05700483,0.53225551,-0.26052377,0.29004756,0.468700981,24.04238111,-1.6655696,0.38509804
Sep-90,0.881151961,-0.352881565,-0.57817244,-5.74096114,0.38222843,-0.01781765,-0.59924736,0.573700981,23.19068747,-0.8100682,0.31509804
Dec-90,0.658651961,-1.857011097,-2.05579713,-9.18351668,0.23641263,-0.35926438,-0.78762294,0.521200981,24.21950576,-0.7940965,0.42509804
Mar-91,0.361151961,-2.844585519,-2.91640836,-12.99140227,0.50032994,-0.97243254,-2.61465949,0.436200981,20.45163299,-0.6966218,0.40509804
Jun-91,0.306151961,-2.672193841,-2.72951905,-14.19670082,0.08676594,-0.14342604,-1.69683822,0.403700981,20.8244982,-0.4175145,0.75509804
Sep-91,0.193651961,-2.930120152,-3.100391,-15.13226878,0.21550606,-0.32563345,-1.70366565,0.291200981,18.30996186,1.156706,0.90509804
Dec-91,-0.061348039,-2.975926026,-3.6555525,-16.26232502,-0.05542753,-0.07911152,-1.60973953,0.228700981,18.77935767,1.897589,1.10509804
Mar-92,-0.173848039,-3.049161294,-3.1886201,-17.12836787,-0.05823447,0.81862963,-1.7735913,0.226200981,17.05619131,6.0221563,0.71509804
Jun-92,-0.228848039,-3.085663058,-3.76486076,-14.8675598,0.0699639,0.57801168,-2.20890188,0.176200981,16.53802355,6.5387907,0.26509804
Sep-92,-0.363848039,-2.517315156,-3.19793472,-14.20963504,-0.19473606,1.24264826,-1.98773211,0.068700981,10.83649839,7.3411261,0.38509804
Dec-92,-0.438848039,-1.938246293,-2.52450912,-11.8900044,-0.06648006,0.79948103,-1.79591809,0.116200981,8.42035254,8.1449847,0.15509804
