0,C1,C2,C3,C4,W1,W2,W3,W4,L1,L2,L3,L4,R,pi1,pi2,pi3,pi4,Y1,Y2,Y3,Y4,S1,S2,S3,S4,LevF1,LevF2,LevF3,LevF4,I1,I2,I3,I4,LevE1,LevE2,LevE3,RE1,RE2,RE3,RE4
6-Dec,2.093046823,0.090481353,3.300168087,0.690453483,1.08934459,-1.147775848,-1.592454954,-0.79307251,2.698201359,0.748746356,1.744417654,3.939431393,0.522539975,-0.215759775,-0.10885408,-0.103315744,-0.077553857,2.199983996,2.759315892,2.122585834,2.964287596,-0.156466346,-0.146899038,-0.1190625,-0.155120192,-2.663255315,-1.194882089,-2.912778189,-2.232643957,11.11665285,7.246950667,6.115724466,7.916632185,-10.19415671,-0.63017793,-7.528265672,-0.093623889,-0.087657912,-0.064491875,-0.070395489
7-Mar,1.970327366,-0.405732607,3.009834711,0.63899783,0.545920365,-1.771901932,-1.664268961,-1.072994947,2.245250905,0.66372174,0.263177347,2.361722705,0.543532771,0.440554674,0.211778235,0.059791547,0.323921846,1.744030157,2.883666787,2.603557214,3.588049502,-0.131466346,-0.121899038,-0.1315625,-0.137620192,-3.541341472,-1.337399649,-3.967727655,0.965825148,9.737689406,5.470961953,6.591268005,16.83791911,-9.981097086,0.894265221,-6.878802674,-0.086247452,-0.082388339,-0.048850748,-0.05193419
7-Jun,1.868092848,-0.801544858,2.613421531,0.621126556,-0.353090059,-1.631647705,-1.348823718,-1.06022147,2.312920151,0.357637871,2.197245828,5.68158006,0.564982454,0.160637322,-0.121155878,0.003810674,-0.081010328,2.047898647,3.10290846,3.072207059,4.194566783,-0.123966346,-0.119399038,-0.1265625,-0.135120192,-0.534211888,-0.856598747,-1.577274698,11.60172112,9.564576221,7.096559442,8.275758672,16.76613479,-10.42395067,1.364440319,-7.024670736,0.015628942,0.012668243,0.074114426,0.078998537
7-Sep,1.548473128,-1.162234483,2.439729176,0.281651609,-0.518016584,-1.920664881,-1.25007933,-0.845633457,2.180692357,0.312612174,1.305775646,5.014161369,0.519177561,-0.083585885,0.112886238,0.03741751,0.157620998,1.656098559,2.719944494,2.636384034,3.695702834,-0.121466346,-0.094399038,-0.1040625,-0.105120192,-0.079379644,0.139663611,-0.464008412,5.853697868,8.090237978,5.462818353,9.32185019,14.43126849,-9.367920683,2.620149919,-5.907542137,-0.017597485,-0.022093157,0.049732194,0.057756078
7-Dec,1.066154282,-1.145264972,1.883233523,-0.097314696,0.418036241,-1.813404218,-0.544555565,-0.587836831,1.628259967,0.351446385,1.119797783,2.651410308,0.383053511,-0.337638976,0.17875972,0.233786785,0.143118228,0.778025459,1.638326507,1.901507918,2.698681746,-0.068966346,-0.064399038,-0.0340625,-0.067620192,0.123005813,2.423051105,-0.911653557,-2.094554514,6.015875855,2.03287683,9.816347206,21.08628547,-8.329379269,4.957011786,-4.457148635,-0.008039277,-0.018785447,0.040784781,0.042142445
8-Mar,0.384753768,-1.679659674,0.774145759,-0.041101426,0.750901316,-1.188016909,0.116543483,-0.270104237,1.547824945,0.048021138,-0.984724096,0.22842625,0.020721239,-0.088007048,0.140577076,0.06354796,0.227952924,-0.07172764,0.955810447,0.866682101,1.299560095,-0.048966346,-0.001899038,-0.0140625,-0.002620192,-1.393443272,3.646350744,-2.246258434,14.65295136,3.631376011,-1.068277317,9.64380735,8.620156246,-6.876657941,7.843669903,-2.563086621,0.047202017,0.057992274,0.05502333,0.054925552
8-Jun,-0.340619334,-2.559146822,0.665048079,-0.727633489,-0.590428968,-1.431970812,0.357117371,-0.368848919,0.513866357,0.006091018,0.100373867,2.384746407,-0.081447727,0.34948518,0.178114497,0.082208914,0.469765398,-0.906228079,-1.242752176,-1.281430945,-1.429033724,-0.023966346,0.063100962,0.0584375,0.064879808,1.488585095,3.909759566,-0.851091875,10.68065273,1.331618812,-3.93614813,8.288523545,1.502815204,-4.732235861,11.37817748,0.00316658,0.088529876,0.083652648,0.105173491,0.111346975
8-Sep,-1.918442235,-4.497634617,-1.289812546,-1.679394375,-1.206511373,-2.504057269,0.411475725,-0.852039868,-1.38454594,-0.096613205,-1.478726066,1.136550724,-0.074594812,0.644713735,-0.01947787,0.15013708,-0.138837181,-2.392340373,-4.090920392,-4.490138048,-4.935397801,0.001033654,0.130600962,0.1184375,0.139879808,4.587749099,5.246251401,5.734112231,11.74189113,-2.794038221,-8.100941767,5.464192028,-8.638904089,-3.970588127,14.28491458,1.400963085,0.146318274,0.14357207,0.138926529,0.141613961
8-Dec,-3.287537322,-5.710150463,-2.934772004,-2.00185636,-1.047367718,-1.277905795,2.167232211,0.117273436,-4.137146662,-0.356029795,-3.560928197,-4.524574905,-0.429810537,-0.727002236,-0.38529885,-0.383045899,-0.402194096,-4.853621133,-7.205067016,-8.627046958,-10.60746322,0.111033654,0.228100962,0.2584375,0.237379808,15.08857351,10.07116585,11.1033221,5.52874434,-9.512009018,-20.26218282,-0.047276126,-33.25161146,0.081320685,20.71487162,6.136954846,0.425885857,0.460574653,0.176407971,0.203364163
9-Mar,-3.546354861,-6.095885644,-2.818880418,-2.46961599,-2.681583953,-0.768454576,2.521462877,0.427703758,-6.552724765,-1.020220023,-7.63775784,-11.993464,-0.365638798,-0.153189474,-0.085866018,0.170802341,-0.476778522,-6.818458528,-11.70950416,-14.13048971,-17.12576957,0.231033654,0.265600962,0.2484375,0.302379808,4.499759166,3.521349322,3.52665924,-7.014385369,-21.46624847,-34.22041291,-11.95447901,-43.1413814,2.626632323,24.79146767,9.102723021,0.424959821,0.487394779,0.177656518,0.22664673
9-Jun,-4.870156438,-7.110056563,-3.77605012,-3.748281462,-0.927771817,-0.74679369,2.475640798,0.472675585,-7.32062833,-0.892347814,-7.365458133,-12.32113048,-0.297854861,-0.297651539,0.219276954,0.123636928,-0.091910477,-8.233718833,-15.22330875,-17.408028,-20.32247955,0.356033654,0.413100962,0.4109375,0.442379808,2.114145306,1.168996327,4.584761722,7.986328988,-26.47378748,-40.40359411,-16.25228318,-37.33544955,4.981652097,27.0276723,11.41602475,0.196001183,0.203978968,0.117600615,0.153883703
9-Sep,-4.348962244,-6.532123359,-3.170818362,-3.763474533,-0.717638282,0.095061919,1.48046988,0.951544428,-7.13334023,-1.715361636,-8.711979405,-13.71613565,-0.25200547,-0.157675893,-0.026117089,0.002139843,-0.075761219,-7.415853177,-13.76709889,-16.08353599,-18.52190398,0.386033654,0.470600962,0.4584375,0.514879808,-1.122299328,-1.888816036,2.53741346,-2.623268668,-27.54347906,-37.71623477,-18.02635312,-31.14517962,5.622452144,26.90161234,11.83892728,-0.09379464,-0.087530879,-0.08144233,-0.087644526
9-Dec,-4.110789111,-5.903476348,-2.25311663,-3.557010294,-0.608330867,-0.01273727,3.341843947,1.459693497,-6.218500411,-2.511135445,-9.466984306,-17.31790814,-0.198451205,-0.378472632,0.155125199,0.012058474,0.286628935,-6.645846664,-12.46156855,-15.02092722,-17.47269318,0.388533654,0.505600962,0.5384375,0.542379808,0.802539971,-2.273248478,-2.351201202,1.376577196,-27.91639469,-31.93505886,-18.79140634,-32.1449838,6.757728521,29.0670622,13.23727553,-0.07235473,-0.087620349,-0.019728406,-0.038253747
10-Mar,-4.614141359,-6.400791538,-2.036785928,-4.438901466,-1.534807412,0.137283815,3.8820826,1.303258593,-4.967898529,-2.335857069,-11.37070867,-19.87050503,-0.127395147,-0.008479596,0.006317707,-0.349227447,0.091454231,-6.624918794,-11.40723663,-13.98666425,-16.68076147,0.278533654,0.498100962,0.4809375,0.574879808,-5.246610621,-1.005809567,-6.685001048,-3.292132201,-28.54370386,-26.66626833,-18.50646834,-24.80709418,6.143400126,27.10725914,12.24731343,-0.09004755,-0.116720323,-0.002462802,-0.025704969
10-Jun,-4.427381529,-6.418235551,-1.767144773,-4.334240461,-1.729959786,0.05944302,3.457790574,1.2401404,-3.982793005,-2.768687111,-9.364456528,-15.33907795,-0.061416342,0.247255404,-0.084984451,0.00331274,-0.073795593,-5.721606126,-10.5924814,-12.87129739,-15.129015,0.216033654,0.455600962,0.4559375,0.509879808,-6.935387465,-2.732783598,-2.716163781,-13.24027012,-25.10657185,-21.3508217,-15.26769422,-16.86415586,5.023960971,24.98423773,10.84419386,-0.09219634,-0.120206918,-0.082338379,-0.097735294
10-Sep,-4.617343203,-7.174491812,-1.779627143,-4.658943327,-2.032490901,-0.252098566,3.059734823,0.891200473,-3.075615159,-2.778423907,-9.863932367,-14.7156675,0.001985783,0.294542971,-0.197975434,-0.063568689,-0.189949274,-5.452734303,-9.272041402,-11.99949698,-14.83094779,0.173533654,0.385600962,0.3709375,0.422379808,-2.454215097,-4.846102993,1.075627639,-9.646118122,-25.85103685,-18.79057293,-14.00035343,-6.224134536,6.245339386,25.77753443,11.93899573,-0.22656806,-0.233383302,-0.179546456,-0.192065757
10-Dec,-3.845190519,-6.307031921,-0.831220333,-4.437039051,-1.987087686,0.331644375,3.848543343,1.009640369,-3.409719955,-3.356042063,-9.777426975,-16.74613175,0.06035019,-0.091118693,-0.104032612,-0.033989805,-0.002420212,-5.670957786,-9.22810038,-11.88964125,-14.65181638,0.081033654,0.303100962,0.3384375,0.332379808,0.883368127,-3.1372643,-2.673497465,-6.489039881,-24.06501178,-24.33962047,-12.11922273,-22.08949705,4.422115309,25.72313871,10.56574117,-0.108372047,-0.131477512,-0.044226891,-0.06385631
