       1.0000000 -th   shock  
mean    low band   high band

     -0.27367318      -0.78335252       0.18443506 
      0.18209951      -0.22140936       0.60392816 
     0.068646388      -0.34973182       0.49082024 
     -0.47746428      -0.91037472     -0.057464452 
    -0.024704528      -0.41966649       0.42593920 
     0.037536908      -0.39286558       0.44097769 
    -0.071152267      -0.48019513       0.36353787 
     0.094860601      -0.32086212       0.50025028 
     -0.31383119      -0.72452994       0.10488748 
     -0.27673944      -0.67594982       0.16236700 
    -0.048428955      -0.47526632       0.37233105 
     0.011616980      -0.39843939       0.42286021 
     -0.65001925       -1.0747392      -0.25084972 
    -0.012513216      -0.42665588       0.40626734 
     -0.17906338      -0.59305928       0.23368758 
     -0.34801498      -0.77288140      0.068403294 
     -0.34322348      -0.78887127      0.054253981 
     -0.21170103      -0.62181119       0.22952772 
     -0.16517394      -0.61916946       0.22870673 
     -0.22518275      -0.61898144       0.23005180 
      0.12509094      -0.31780780       0.51826430 
    0.0064564142      -0.43039584       0.41058600 
     -0.35230598      -0.77614468      0.065971127 
     -0.77945754       -1.1835790      -0.35324641 
     -0.66688719       -1.0999714      -0.24415669 
      -1.9648741       -2.4163634       -1.5381693 
     -0.49485411      -0.88031565     -0.041857330 
     -0.81532380       -1.2461032      -0.40725800 
     -0.64671391       -1.0684554      -0.22950455 
     -0.65475423       -1.0672009      -0.23162766 
     -0.23735927      -0.65325199       0.18704581 
     -0.29083226      -0.73719263       0.11122898 
    -0.091132916      -0.48244927       0.35012583 
     0.043717596      -0.36560482       0.47543862 
      0.14926443      -0.25495171       0.58209252 
      0.31626885      -0.10506138       0.71614009 
    0.0085279175      -0.39856901       0.44003341 
     0.078124205      -0.34488278       0.48778671 
      0.12267474      -0.27600959       0.55484752 
     0.099200263      -0.31780116       0.50138860 
    -0.060498037      -0.47229314       0.36017053 
    -0.081253397      -0.48327633       0.34071264 
    0.0034695338      -0.41427656       0.41093943 
      0.19182974      -0.22282984       0.59560015 
      0.33614066      -0.10431955       0.73917441 
      0.33174821     -0.072053151       0.74516378 
      0.47813688      0.048862476       0.86571222 
      0.31916418      -0.12407589       0.71709500 
      0.40510943     -0.015773658       0.82832611 
      0.20179907      -0.19909856       0.64204915 
      0.10498421      -0.30024224       0.52795553 
     -0.26296140      -0.69842446       0.13868616 
     -0.40158863      -0.81885314      0.012321985 
     -0.20321194      -0.62310142       0.21673663 
     0.076371424      -0.33794359       0.50478570 
     -0.69890295       -1.1418233      -0.30781598 
      0.11685195      -0.30271999       0.54441790 
     -0.18036921      -0.59070562       0.24253149 
     -0.53271212      -0.96209921      -0.13777992 
     -0.29960119      -0.69465452       0.11290989 
      0.71887647       0.27237399        1.1583504 
     -0.30354769      -0.71578607       0.10566822 
     -0.22497415      -0.64347140       0.17640762 
    -0.085647981      -0.51515677       0.33234425 
     -0.19381685      -0.59963183       0.23933361 
     0.050779284      -0.37379924       0.46325525 
     -0.11438744      -0.52654067       0.31206093 
     0.016533613      -0.40646680       0.43005431 
      0.25081672      -0.16837692       0.66007607 
      0.39222537    -0.0073319856       0.84124961 
      0.38736006     -0.030988168       0.80502562 
      0.20134737      -0.20647266       0.62240132 
      0.64718670       0.21395995        1.0681801 
      0.12038054      -0.29587001       0.52637011 
      0.48163306      0.021776773       0.86893862 
      0.27404112      -0.13315408       0.69211774 
      0.39311938     -0.031371955       0.76239807 
    -0.067706347      -0.51342403       0.35472907 
       1.6608165        1.2116700        2.1110319 
      0.64238475       0.23944050        1.0705444 
      0.56489798       0.18168014        1.0089010 
      0.64371451       0.22034605        1.0612987 
      0.28499716      -0.12286585       0.69987550 
      0.50747261       0.12334062       0.94518705 
      0.67394776       0.25629501        1.0932221 
      0.12530622      -0.30873103       0.51441528 
      0.32942674     -0.091917459       0.73944827 
     -0.23647546      -0.66729856       0.17401194 
     -0.29043959      -0.68380656       0.15123961 
     -0.48124445      -0.89733650     -0.060342265 
     -0.74622380       -1.1501569      -0.29262881 
     -0.23994495      -0.68494092       0.19590011 
      -1.5913069       -2.0430287       -1.1310257 
      -1.3497216       -1.7710400      -0.93073077 
      -1.2929507       -1.7419240      -0.87637342 
     -0.90750612       -1.3349651      -0.47631991 
     -0.87681844       -1.2806699      -0.42972805 
   -0.0030734331      -0.43043210       0.41187492 
      0.15444595      -0.27279158       0.56529918 
     -0.67552869       -1.0888397      -0.25161912 
      0.58904585       0.15943158        1.0312011 
    -0.012623139       -1.0067827       0.90550048 
       4.0000000 -th   shock  
mean    low band   high band

      0.14834649       -1.0826872        1.2846344 
      0.79263433      -0.34930494        2.0087804 
      0.35848349      -0.75046091        1.5002587 
      0.20621310      -0.99052205        1.3240206 
      0.11621479       -1.0022214        1.2995405 
      0.48726893      -0.64808889        1.6522480 
     -0.33200252       -1.4623160       0.82432376 
     -0.24815188       -1.3657767       0.87624358 
     -0.10862730       -1.2293170        1.0179842 
      0.40649293      -0.76587961        1.5662691 
     0.056378873       -1.0967806        1.1919463 
      0.20175873      -0.95493896        1.3332199 
    -0.037063190       -1.0954531        1.1575296 
      0.28990437      -0.89808147        1.3858523 
    -0.061761428       -1.2734785        1.0040938 
     -0.19173260       -1.3048809       0.94949003 
     -0.40923665       -1.5414682       0.75161541 
    -0.061016680       -1.2121584        1.0718854 
     -0.40166839       -1.5288363       0.81989242 
     -0.48857036       -1.6489747       0.66166739 
     -0.25802498       -1.4645503       0.82419728 
     -0.12526716       -1.2022995        1.0243631 
     -0.21870153       -1.3587417       0.93135067 
     -0.12484855       -1.3268208       0.92800835 
    -0.098295332       -1.1630327        1.0883625 
     -0.39482763       -1.5164533       0.74639547 
      0.17518494      -0.96608293        1.3100675 
      0.10885321      -0.99040134        1.2389531 
    -0.053222544       -1.2299387        1.0477861 
    0.0046046966       -1.0563138        1.2358330 
     -0.13078236       -1.3668090       0.94730290 
      0.10213163       -1.0526764        1.1795935 
     -0.29755129       -1.4053447       0.85751133 
     -0.57776685       -1.7405045       0.53785922 
     -0.59598070       -1.7806552       0.58377791 
     -0.44008056       -1.5511253       0.71894877 
     -0.43962820       -1.5408055       0.72854540 
     -0.37137725       -1.5289709       0.80105768 
     -0.28138613       -1.4006508       0.90554930 
     -0.29954996       -1.4733482       0.82646304 
     -0.16123967       -1.3346781       0.94845055 
     -0.39094394       -1.5200638       0.77921688 
     -0.30692839       -1.3910048       0.88332536 
     -0.14828408       -1.2799341       0.96640614 
    -0.030477170       -1.1465279        1.1423562 
     -0.29761141       -1.4632739       0.76231063 
     -0.11462010       -1.2627343        1.0398448 
     0.036556241       -1.1071041        1.1680529 
      0.13030220       -1.0443482        1.2528541 
    -0.021228081       -1.1472319        1.1367913 
      0.19620580      -0.94146517        1.2815655 
      0.20079583      -0.83936992        1.3807309 
      0.21372119      -0.87493072        1.4145413 
      0.19720282      -0.95155732        1.2991422 
